region_key,median_income
lake_indiana,68985
laporte_indiana,70452
lawrence_indiana,65551
madison_indiana,62632
marion_indiana,63450
marshall_indiana,68041
martin_indiana,65345
miami_indiana,61130
monroe_indiana,63372
montgomery_indiana,66571
morgan_indiana,79088
newton_indiana,68596
noble_indiana,70908
ohio_indiana,67942
orange_indiana,64758
owen_indiana,59586
parke_indiana,66776
perry_indiana,61099
pike_indiana,66250
porter_indiana,85828
posey_indiana,79124
pulaski_indiana,59956
putnam_indiana,76182
randolph_indiana,61121
ripley_indiana,71084
rush_indiana,64393
st. joseph_indiana,64885
scott_indiana,54583
shelby_indiana,71301
spencer_indiana,70890
starke_indiana,62933
steuben_indiana,71483
sullivan_indiana,54985
switzerland_indiana,65148
tippecanoe_indiana,58622
tipton_indiana,78309
union_indiana,79500
vanderburgh_indiana,60938
vermillion_indiana,59363
vigo_indiana,52525
wabash_indiana,68414
warren_indiana,74635
warrick_indiana,95027
washington_indiana,61358
wayne_indiana,56652
wells_indiana,69741
white_indiana,66143
whitley_indiana,75790
adair_iowa,66176
adams_iowa,68828
allamakee_iowa,66000
appanoose_iowa,51146
audubon_iowa,54152
benton_iowa,84742
black hawk_iowa,64581
boone_iowa,79741
bremer_iowa,83343
buchanan_iowa,78430
buena vista_iowa,66564
butler_iowa,69651
calhoun_iowa,66875
carroll_iowa,68528
cass_iowa,61657
cedar_iowa,79080
cerro gordo_iowa,65537
cherokee_iowa,64478
chickasaw_iowa,73421
clarke_iowa,66821
clay_iowa,64082
clayton_iowa,62326
clinton_iowa,65177
crawford_iowa,65039
dallas_iowa,102349
davis_iowa,79505
decatur_iowa,57146
delaware_iowa,76205
des moines_iowa,60662
dickinson_iowa,74570
dubuque_iowa,75919
emmet_iowa,65181
fayette_iowa,58764
floyd_iowa,64500
franklin_iowa,63648
fremont_iowa,73750
greene_iowa,59159
grundy_iowa,83617
guthrie_iowa,79981
hamilton_iowa,71750
hancock_iowa,70212
hardin_iowa,64906
harrison_iowa,77027
henry_iowa,64604
howard_iowa,67336
humboldt_iowa,66994
ida_iowa,62841
iowa_iowa,72185
jackson_iowa,71605
jasper_iowa,70128
jefferson_iowa,56824
johnson_iowa,74721
jones_iowa,73071
keokuk_iowa,60856
kossuth_iowa,65656
lee_iowa,59803
linn_iowa,76421
louisa_iowa,80223
lucas_iowa,67921
lyon_iowa,72881
madison_iowa,89542
mahaska_iowa,69019
marion_iowa,78059
marshall_iowa,72785
mills_iowa,87810
mitchell_iowa,68704
monona_iowa,62944
monroe_iowa,72518
montgomery_iowa,63190
muscatine_iowa,69512
o'brien_iowa,68216
osceola_iowa,69138
page_iowa,57752
palo alto_iowa,68963
plymouth_iowa,81600
pocahontas_iowa,63423
polk_iowa,81621
pottawattamie_iowa,71446
poweshiek_iowa,64837
ringgold_iowa,69821
sac_iowa,70991
scott_iowa,76363
shelby_iowa,67690
sioux_iowa,84736
story_iowa,69006
tama_iowa,67955
taylor_iowa,67279
union_iowa,56813
van buren_iowa,60183
wapello_iowa,60034
warren_iowa,92990
washington_iowa,71339
wayne_iowa,59118
webster_iowa,68054
winnebago_iowa,63719
winneshiek_iowa,75652
woodbury_iowa,70147
worth_iowa,76875
wright_iowa,64033
allen_kansas,57618
anderson_kansas,64925
atchison_kansas,62164
barber_kansas,57615
barton_kansas,56733
bourbon_kansas,67555
brown_kansas,58886
butler_kansas,80375
chase_kansas,54518
chautauqua_kansas,54592
cherokee_kansas,58274
cheyenne_kansas,55765
clark_kansas,65515
clay_kansas,63136
cloud_kansas,57333
coffey_kansas,67377
comanche_kansas,49417
cowley_kansas,58263
crawford_kansas,50311
decatur_kansas,52030
dickinson_kansas,67982
doniphan_kansas,72833
douglas_kansas,68756
edwards_kansas,53792
elk_kansas,56087
ellis_kansas,59889
ellsworth_kansas,66792
finney_kansas,72437
ford_kansas,70495
franklin_kansas,72142
geary_kansas,57344
gove_kansas,63203
graham_kansas,52909
grant_kansas,72484
gray_kansas,77885
greeley_kansas,78819
greenwood_kansas,58276
hamilton_kansas,61929
harper_kansas,55417
harvey_kansas,73269
haskell_kansas,69138
hodgeman_kansas,63125
jackson_kansas,72703
jefferson_kansas,77393
jewell_kansas,52344
johnson_kansas,107261
kearny_kansas,74135
kingman_kansas,59819
kiowa_kansas,73214
labette_kansas,55439
lane_kansas,53042
leavenworth_kansas,86906
lincoln_kansas,53546
linn_kansas,59200
logan_kansas,71389
lyon_kansas,59078
mcpherson_kansas,77701
marion_kansas,63438
marshall_kansas,70828
meade_kansas,74868
miami_kansas,88000
mitchell_kansas,58233
montgomery_kansas,53242
morris_kansas,56716
morton_kansas,65625
nemaha_kansas,77375
neosho_kansas,55704
ness_kansas,66107
norton_kansas,50305
osage_kansas,70216
osborne_kansas,59408
ottawa_kansas,76755
pawnee_kansas,63625
phillips_kansas,61235
pottawatomie_kansas,87694
pratt_kansas,64348
rawlins_kansas,65000
reno_kansas,60498
republic_kansas,53611
rice_kansas,63947
riley_kansas,59560
rooks_kansas,61596
rush_kansas,60288
russell_kansas,53902
saline_kansas,63316
scott_kansas,67788
sedgwick_kansas,67675
seward_kansas,62269
shawnee_kansas,66043
sheridan_kansas,70000
sherman_kansas,64444
smith_kansas,57024
stafford_kansas,63786
stanton_kansas,70361
stevens_kansas,61909
sumner_kansas,60348
thomas_kansas,73575
trego_kansas,73375
wabaunsee_kansas,70536
wallace_kansas,60263
washington_kansas,62452
wichita_kansas,71282
wilson_kansas,57056
woodson_kansas,48152
wyandotte_kansas,60582
adair_kentucky,50316
allen_kentucky,59029
